,Unnamed: 0,이름,차량번호,링크,연식,주행거리,연료,배기량,색상,보증정보,가격,신차대비가격,옵션_선루프,옵션_파노라마선루프,옵션_열선앞,옵션_열선뒤,옵션_전방센서,옵션_후방센서,옵션_전방캠,옵션_후방캠,옵션_어라운드뷰,옵션_네비순정,보험이력등록,소유자변경횟수,사고상세_전손,사고상세_침수전손,사고상세_침수분손,사고상세_도난,보험_내차피해(횟수),보험_내차피해(가격),사고상세_타차가해(횟수),보험_타차피해(가격)
0,0,현대 그랜저HG 300 프리미엄,차량번호 63주5358,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2161935&gubun=K,2013.06 (14년형),"180,900 km",가솔린,"2,999 cc (270마력)",검정색,만료,820만원,25,무,무,유,유,유,유,무,유,무,유,등록,4.0,0.0,0.0,0.0,0.0,3.0,"1,981,920",0.0,0
1,1,현대 그랜저 뉴 럭셔리  Q270 LPi ,차량번호 29버7398,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2161119&gubun=K,2009.08 (10년형),"265,753 km",LPG,"2,656 cc (165마력)",검정색,만료,399만원,15,무,무,유,유,무,유,무,유,무,무,등록,0.0,0.0,0.0,0.0,0.0,4.0,"3,274,363",6.0,"2,834,910"
2,2,현대 그랜저HG 300 LPi 모던,차량번호 200부6149,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2160506&gubun=K,2016.08,"89,076 km",LPG,"2,999 cc (235마력)",검정색,만료,"1,120만원",준비중,무,무,유,유,무,유,무,유,무,무,등록,1.0,0.0,0.0,0.0,0.0,2.0,"1,904,690",0.0,0
3,3,현대 그랜저HG 300 로얄,차량번호 64보9465,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2161923&gubun=K,2012.02,"111,306 km",가솔린,"2,999 cc (270마력)",검정색,만료,749만원,19,유,유,유,유,유,유,무,유,무,유,등록,5.0,0.0,0.0,0.0,0.0,2.0,"5,660,104",1.0,"3,830,176"
4,4,현대 그랜저HG 300 프리미엄,차량번호 19도2349,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2162103&gubun=K,2013.02,"102,801 km",가솔린,"2,999 cc (270마력)",검정색,만료,990만원,30,무,무,유,유,무,유,무,무,무,유,등록,4.0,0.0,0.0,0.0,0.0,7.0,"11,149,558",3.0,"8,119,080"
5,5,현대 그랜저HG 240 모던,차량번호 47가8216,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2162053&gubun=K,2013.03,"76,579 km",가솔린,"2,359 cc (201마력)",검정색,만료,"1,050만원",35,무,무,유,유,유,유,무,유,무,무,등록,1.0,0.0,0.0,0.0,0.0,5.0,"8,925,726",6.0,"4,576,700"
6,6,현대 그랜저HG 240 모던 컬렉션,차량번호 381모5575,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2162171&gubun=K,2016.05 (17년형),"76,890 km",가솔린,"2,359 cc (190마력)",흰색,만료,"1,330만원",43,무,무,유,유,유,유,무,유,무,유,등록,4.0,0.0,0.0,0.0,0.0,2.0,"1,227,525",2.0,"2,336,609"
7,7,현대 그랜저HG 220 디젤 모던,차량번호 66나0304,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2162773&gubun=K,2016.08,"71,711 km",가솔린,"2,199 cc (202마력)",흰색,만료,"1,270만원",39,무,무,유,유,유,유,무,유,무,무,등록,,,,,,,,,
8,8,현대 그랜저HG 300 프리미엄,차량번호 47도0928,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2162813&gubun=K,2013.05 (14년형),"82,342 km",가솔린,"2,999 cc (270마력)",검정색,만료,"1,050만원",32,무,무,유,유,무,유,무,유,무,무,등록,3.0,0.0,0.0,0.0,0.0,1.0,"336,408",1.0,"1,055,570"
9,9,현대 그랜저HG 240 모던,차량번호 23조1830,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2162884&gubun=K,2013.01,"82,672 km",가솔린,"2,359 cc (201마력)",흰색,만료,"1,150만원",38,무,유,유,무,유,유,무,유,무,유,등록,2.0,0.0,0.0,0.0,0.0,4.0,"7,614,774",1.0,"4,679,400"
