,이름,연식,주행거리,연료,배기량,색상,옵션_선루프,옵션_파노라마선루프,옵션_열선앞,옵션_열선뒤,옵션_전방센서,옵션_후방센서,옵션_전방캠,옵션_후방캠,옵션_어라운드뷰,옵션_네비순정,보험이력등록,소유자변경횟수,사고상세_전손,사고상세_침수전손,사고상세_침수분손,사고상세_도난,보험_내차피해(횟수),보험_내차피해(가격),사고상세_타차가해(횟수),보험_타차피해(가격),가격,신차대비가격,링크
0,현대 그랜저HG 300,201306,180900,2,2999,0,0,0,1,1,1,1,0,1,0,1,1,4,0,0,0,0,3,1981920,0,0,8200000,25,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2161935&gubun=K
1,현대 그랜저 뉴,200908,265753,1,2656,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,4,3274363,6,2834910,3990000,15,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2161119&gubun=K
3,현대 그랜저HG 300,201202,111306,2,2999,0,1,1,1,1,1,1,0,1,0,1,1,5,0,0,0,0,2,5660104,1,3830176,7490000,19,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2161923&gubun=K
4,현대 그랜저HG 300,201302,102801,2,2999,0,0,0,1,1,0,1,0,0,0,1,1,4,0,0,0,0,7,11149558,3,8119080,9900000,30,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2162103&gubun=K
5,현대 그랜저HG 240,201303,76579,2,2359,0,0,0,1,1,1,1,0,1,0,0,1,1,0,0,0,0,5,8925726,6,4576700,10500000,35,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2162053&gubun=K
6,현대 그랜저HG 240,201605,76890,2,2359,1,0,0,1,1,1,1,0,1,0,1,1,4,0,0,0,0,2,1227525,2,2336609,13300000,43,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2162171&gubun=K
8,현대 그랜저HG 300,201305,82342,2,2999,0,0,0,1,1,0,1,0,1,0,0,1,3,0,0,0,0,1,336408,1,1055570,10500000,32,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2162813&gubun=K
9,현대 그랜저HG 240,201301,82672,2,2359,1,0,1,1,0,1,1,0,1,0,1,1,2,0,0,0,0,4,7614774,1,4679400,11500000,38,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2162884&gubun=K
10,현대 그랜저IG 3.0,201903,17856,2,2999,4,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,12082770,2,8686880,21490000,55,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2163149&gubun=K
18,현대 그랜저IG 2.4,201801,94976,2,2359,0,1,1,1,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,21500000,66,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2153763&gubun=K
19,현대 그랜저HG 300,201311,33747,2,2999,0,0,0,1,1,1,1,0,1,0,1,1,2,0,0,0,0,1,286980,1,464400,15500000,47,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2163327&gubun=K
20,현대 그랜저HG 300,201306,180900,2,2999,0,0,0,1,1,1,1,0,1,0,1,1,4,0,0,0,0,3,1981920,0,0,8200000,25,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2161935&gubun=K
21,현대 그랜저 뉴,200908,265753,1,2656,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,4,3274363,6,2834910,3990000,15,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2161119&gubun=K
23,현대 그랜저HG 300,201202,111306,2,2999,0,1,1,1,1,1,1,0,1,0,1,1,5,0,0,0,0,2,5660104,1,3830176,7490000,19,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2161923&gubun=K
24,현대 그랜저HG 300,201302,102801,2,2999,0,0,0,1,1,0,1,0,0,0,1,1,4,0,0,0,0,7,11149558,3,8119080,9900000,30,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2162103&gubun=K
25,현대 그랜저HG 240,201303,76579,2,2359,0,0,0,1,1,1,1,0,1,0,0,1,1,0,0,0,0,5,8925726,6,4576700,10500000,35,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2162053&gubun=K
26,현대 그랜저HG 240,201605,76890,2,2359,1,0,0,1,1,1,1,0,1,0,1,1,4,0,0,0,0,2,1227525,2,2336609,13300000,43,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2162171&gubun=K
28,현대 그랜저HG 300,201305,82342,2,2999,0,0,0,1,1,0,1,0,1,0,0,1,3,0,0,0,0,1,336408,1,1055570,10500000,32,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2162813&gubun=K
29,현대 그랜저HG 240,201301,82672,2,2359,1,0,1,1,0,1,1,0,1,0,1,1,2,0,0,0,0,4,7614774,1,4679400,11500000,38,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2162884&gubun=K
30,현대 그랜저IG 3.0,201903,17856,2,2999,4,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,12082770,2,8686880,21490000,55,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2163149&gubun=K
38,현대 그랜저IG 2.4,201801,94976,2,2359,0,1,1,1,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,21500000,66,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2153763&gubun=K
39,현대 그랜저HG 300,201311,33747,2,2999,0,0,0,1,1,1,1,0,1,0,1,1,2,0,0,0,0,1,286980,1,464400,15500000,47,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2163327&gubun=K
40,현대 더 뉴,201912,29382,2,2497,0,0,0,1,1,1,1,0,1,1,1,1,1,0,0,0,0,1,546717,0,0,32900000,89,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2163111&gubun=K
51,현대 그랜저 뉴,200807,179912,2,2656,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,10,10642824,3,2801664,2700000,8,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2161789&gubun=K
52,현대 그랜저 뉴,200803,105458,2,2656,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,7,6688210,7,4019755,2990000,9,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2161790&gubun=K
54,현대 그랜저HG 300,201103,185985,2,2999,0,0,0,0,1,0,0,0,0,0,0,1,3,0,0,0,0,7,8535641,4,5912111,5500000,16,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2162749&gubun=K
56,현대 그랜저 뉴,200906,158682,2,2656,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,3,1592356,2,3911568,3200000,10,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2163365&gubun=K
59,현대 그랜저IG 3.0,201807,52829,2,2999,2,0,0,1,1,1,1,1,1,1,1,1,2,0,0,0,0,0,0,0,0,27700000,71,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2153188&gubun=K
61,현대 그랜저IG 3.0,201707,56247,1,2999,1,1,1,1,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,22300000,77,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2158960&gubun=K
63,현대 더 뉴,202101,19910,2,3342,4,1,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,36890000,84,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2161417&gubun=K
72,현대 더 뉴,202005,18500,2,2497,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,37300000,90,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2160753&gubun=K
73,현대 더 럭셔리,200910,117484,2,2656,3,0,0,1,0,0,1,0,1,0,1,1,3,0,0,0,0,7,7716744,3,8930820,4600000,13,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2162384&gubun=K
75,현대 그랜저IG 2.4,201805,71263,2,2359,5,1,1,1,1,1,1,0,1,0,1,1,1,0,0,0,0,4,6082166,4,3050194,20600000,63,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2162928&gubun=K
83,현대 그랜저IG 2.4,201711,69999,2,2359,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,12323160,0,0,17900000,49,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2160919&gubun=K
84,현대 더 뉴,202008,24000,2,2497,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,31500000,93,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2160954&gubun=K
85,현대 더 뉴,202003,29999,2,2497,0,0,0,1,1,1,1,0,1,0,1,1,2,0,0,0,0,0,0,0,0,30990000,92,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2161438&gubun=K
86,현대 그랜저IG 2.4,201807,95000,2,2359,0,0,0,1,1,1,1,0,1,0,1,1,1,0,0,0,0,3,1891946,0,0,16800000,53,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2163040&gubun=K
87,현대 그랜저IG 3.0,201703,81000,2,2999,0,0,0,1,1,1,1,1,1,0,1,1,1,0,0,0,0,1,0,2,2396162,17900000,50,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2163042&gubun=K
88,현대 그랜저HG 300,201103,137000,2,2999,0,0,0,1,1,1,1,1,1,0,1,1,4,0,0,0,0,12,12598961,12,8252088,6500000,19,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2163039&gubun=K
89,현대 그랜저IG 2.4,201710,53000,2,2359,0,0,0,1,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,2,11563000,17800000,57,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2163041&gubun=K
91,현대 그랜저IG 2.4,201701,112000,2,2359,1,1,1,1,1,1,1,0,1,0,1,1,3,0,0,0,0,3,2602949,3,1778290,18000000,56,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2154394&gubun=K
92,현대 그랜저IG 3.0,201811,57354,1,2999,0,1,1,1,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,23000000,79,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2156666&gubun=K
